"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"9V_TRF_PRI";"C-GRID-03-70543";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"9V_TRF_SEC";"C-GRID-04-70543";"C-GRID-04-70543";"70543-04";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC";"220V AC IN";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC1";"220V PR11L";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC2";"220V PR12L";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC3";"220V PR21L";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC4";"220V RIAA L";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC5";"220V PR11R";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC6";"220V PR12R";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC7";"220V PR22L";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC8";"220V PR22R";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC9";"220V PR21R";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"220V_AC10";"220V RIAA R";"C-GRID-03-70543";"70543-03";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"ARDUINO1";"CON_ARDUINO";"CON_ARDUINO";"CON_ARDUINO";"Arduino board connector layout";"";"";"";"";"";"";
"ARD_ANA_IN";"ARD_ANA_IN";"C-GRID-06-70543";"70543-06";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"ARD_DIO_1";"ARD_DIO_1";"C-GRID-08-70543";"70543-08";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"ARD_DIO_2";"ARD_DIO_2";"C-GRID-10-70543";"70543-10";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"ARD_PWR";"ARD_PWR";"C-GRID-08-70543";"70543-08";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"C1";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C2";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C3";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C4";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C6";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C7";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C8";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C9";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C10";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";
